Date,RegionName,1m%Change,12m%Change,SalesVolume,DetachedPrice,SemiDetachedPrice,TerracedPrice,FlatPrice,MortgagePrice,New12m%Change,Old12m%Change,AveragePrice
1995-01-01,City of London,,,17,,,,91484.42509,,,,91448.98487
1995-02-01,City of London,-10.11078663,,7,,,,82173.0827,,,,82202.77314
1995-03-01,City of London,-3.749351099,,14,,,,79069.3019,,,,79120.70256
1995-04-01,City of London,-2.552422386,,7,,,,77048.93662,,,,77101.20804
1995-05-01,City of London,9.478374552,,10,,,,84395.09568,,,,84409.14932
1995-06-01,City of London,12.42917765,,17,,,,94926.82581,,,,94900.51244
1995-07-01,City of London,16.04578256,,13,,,,110120.8908,,,,110128.0423
1995-08-01,City of London,1.998941645,,14,,,,112272.8352,,,,112329.4376
1995-09-01,City of London,-6.994006327,,17,,,,104399.8336,,,,104473.1096
1995-10-01,City of London,3.412369461,,14,,,,108023.3259,,,,108038.1181
1995-11-01,City of London,8.883434865,,11,,,,117661.9249,,,,117635.614
1995-12-01,City of London,8.158100787,,18,,,,127238.4689,,,,127232.4459
1996-01-01,City of London,-14.33109368,19.19065593,17,,,,108912.0375,,21.41726165,18.67803244,108998.6449
1996-02-01,City of London,-14.35058828,13.56879407,10,,,,93217.25854,,17.0263681,12.81832659,93356.69814
1996-03-01,City of London,0.374909066,18.43512233,17,,,,93527.59405,,23.8238239,16.98133355,93706.70087
1996-04-01,City of London,28.63838555,56.34357777,14,,,,120313.9778,,63.22304869,54.57429675,120542.7871
1996-05-01,City of London,-7.045388912,32.74636682,19,,,,111837.7461,,38.46672876,31.37028648,112050.079
1996-06-01,City of London,1.942085035,20.36414121,28,,,,114007.1671,,24.58495057,19.60775049,114226.1868
1996-07-01,City of London,-14.60219577,-11.42432632,30,,,,97352.03506,,-8.715242746,-11.66482923,97546.65538
1996-08-01,City of London,17.05061648,1.64651752,25,,,,113948.0838,,4.351732893,1.473282555,114178.9615
1996-09-01,City of London,-5.290481973,3.508304178,32,,,,107910.2249,,6.290725945,3.494779077,108138.3441
1996-10-01,City of London,-8.511442558,-8.426569454,33,,,,98726.65457,,-6.607872016,-8.287785277,98934.21106
1996-11-01,City of London,0.780887082,-15.24099534,31,,,,99499.64514,,-13.69720495,-15.02402193,99706.77553
1996-12-01,City of London,6.739632981,-16.35258955,26,,,,106210.0089,,-15.24465243,-15.98586196,106426.6463
1997-01-01,City of London,9.31779517,6.738265662,22,,,,116099.0225,,7.349923694,7.547184014,116343.2632
1997-02-01,City of London,-4.470410867,19.05116987,37,,,,110900.7534,,18.9035219,19.97008031,111142.2413
1997-03-01,City of London,-3.288101066,14.70660163,70,,,,107246.7173,,13.23462199,16.0778618,107487.7721
1997-04-01,City of London,0.923225449,-10.00695346,19,,,,108234.9233,,-10.94822349,-9.10493792,108480.1265
1997-05-01,City of London,6.427893773,3.037065995,12,,,,115191.9105,,1.7356548,4.224163436,115453.1138
1997-06-01,City of London,2.480244056,3.581005493,21,,,,118038.6933,,2.26111262,4.742884285,118316.6328
1997-07-01,City of London,-1.084234859,19.97725826,26,,,,116744.923,,18.47936855,21.24580992,117033.8026
1997-08-01,City of London,-2.947094253,-0.520459542,9,,,,113286.7034,,-2.021336672,0.72658302,113584.7062
1997-09-01,City of London,1.386325848,6.492624123,22,,,,114851.3635,,5.119860409,7.618743988,115159.3603
1997-10-01,City of London,5.28978957,22.55724976,22,,,,120932.9877,,20.96569587,23.86117231,121251.0481
1997-11-01,City of London,8.101721721,31.45994337,18,,,,130737.2009,,29.87017101,32.75357134,131074.4707
1997-12-01,City of London,-0.793213,22.1825318,37,,,,129705.1798,,21.23186821,22.97441218,130034.7709
1998-01-01,City of London,-4.347418803,6.909168132,48,,,,124067.194,,6.762202451,7.059085326,124381.6148
1998-02-01,City of London,15.63498661,29.40954041,43,,,,143492.4482,,30.29314482,28.84977151,143828.6637
1998-03-01,City of London,8.815733729,45.60560021,39,,,,156147.8718,,46.77369968,44.86535365,156508.2157
1998-04-01,City of London,4.405311567,50.62933223,28,,,,163027.2711,,51.64566657,50.0071695,163402.8902
